frame,time,sh_x,sh_y,el_x,el_y,wr_x,wr_y,hip_x,hip_y,opp_sh_x,opp_sh_y,opp_hip_x,opp_hip_y,hands_used,speed_px_s,nvp_marker
0,0.0,177.80883235774974,749.0777981973265,64.84619083704379,1059.1503237203713,391.0685636201293,1086.9821067424868,100.72801252814178,1245.156343763991,336.38058155663674,780.0489801550283,213.0757074668865,1205.8558981839894,1.0,119.66037659678969,0
1,0.01658227848101266,176.76219851393228,747.328535780934,64.64656525262288,1062.2745958299558,391.46528187731496,1084.8653191554974,109.08564532646326,1256.2873466916496,335.01422369334483,779.4331010038211,224.3341209384642,1209.549903740848,1.0,146.786984270597,0
2,0.03316455696202532,175.626538751064,745.5809133247487,64.5467333879689,1064.910405408848,392.9706541925408,1083.1032919077602,116.27802403829241,1265.290933089301,333.5402179713711,778.8862146978452,233.15066488508972,1212.698182583815,1.0,187.44598174945781,0
3,0.04974683544303798,174.44758244100427,743.8986767750713,64.59770879063919,1066.7167615108563,396.0870515053777,1081.6699117337776,121.57620959413816,1271.0408545586158,331.85964778653687,778.3406848140635,238.4206772589509,1214.903772495013,1.0,239.14379600351836,0
4,0.06632911392405064,173.3679133591405,742.3890931583218,64.77944819252131,1067.5681451694422,400.5303982706388,1080.195863847214,125.14081197482304,1273.611653458268,330.0338386996691,777.7100284968163,240.9069211953617,1215.917970105132,1.0,283.07031766325207,0
5,0.08291139240506329,172.48603367557413,741.1164957388354,65.0680436859196,1067.5198490918563,405.5153241051686,1078.3897525388297,128.12115239999616,1273.7462284336066,328.3913160311659,777.1528118531575,242.60806668857467,1215.6135903529557,1.0,300.1654562871784,0
6,0.09949367088607595,171.79655921219154,740.0297376053594,65.6548139801214,1066.7271374647855,410.2582381325754,1076.3840981599405,132.01705872688456,1272.2453216225942,327.3442096164007,777.1115530199075,245.36251066908125,1214.1185802439402,1.0,288.88218340890336,0
7,0.11607594936708861,171.25622504219226,738.9805444745871,67.20142032590341,1065.4083879878701,414.4186904372055,1074.613479355167,137.55095196649984,1269.8027462738303,327.0117759325769,777.9579208824618,249.64709192506314,1212.0142491511053,1.0,269.21093980091007,0
8,0.13265822784810127,170.86025592526622,737.8456912743511,70.75294939116449,1063.881889639325,418.2770396462494,1073.3285510215846,144.07602004505446,1267.2107888968847,327.018136430439,779.5538445992173,254.44357970101436,1210.279443414901,1.0,269.9295945415013,0
9,0.14924050632911393,170.62987496423602,736.6631213658147,77.01717688614737,1062.5763072617099,422.5508106805006,1072.2530001844032,150.33540723203004,1265.4260551625134,326.69038044683924,781.2202753722897,258.26884853940595,1209.8536372795386,1.0,309.3273099551221,0
10,0.16582278481012658,170.54351333928403,735.6428425907782,85.4196990960165,1061.9030288084875,427.95483600617257,1070.7573081046335,155.90804345796602,1265.1739047631738,325.5228432397765,782.2107685255024,260.49372778153753,1211.100098866963,1.0,383.3265825891583,0
11,0.18240506329113923,170.51454996541415,735.015097368795,93.99347979169956,1062.0588792080212,434.7975094039898,1068.3946344570884,161.57379032260346,1266.3938728479063,323.5470820926605,782.2426984638299,261.7778217653605,1213.5906776990028,1.0,468.1826891892808,0
12,0.1989873417721519,170.4518409859683,734.8446545042686,100.62404046032012,1062.9493422567032,442.8710960515558,1065.289125711604,167.976574881424,1268.123480844274,321.3129275551637,781.5938570449197,263.28246345162205,1216.3601654152676,1.0,534.5438920070982,0
13,0.21556962025316456,170.33782830662122,734.9748940837356,104.65252581361463,1064.2829041185557,451.64745632387024,1062.0340178391052,174.2836893132143,1269.0322585392298,319.4763961065453,780.7506730389874,265.53426934957406,1218.4162917574622,1.0,563.1735403416167,0
14,0.23215189873417721,170.2479682584553,735.137608482008,107.23587764677008,1065.702447896299,460.56088102908586,1059.2303611583168,178.71294353999298,1268.25699507279,318.3057202894567,780.0017617724031,268.0751346918255,1219.178011356719,1.0,553.2915328279246,0
15,0.24873417721518987,170.29716663377653,735.1301379627952,110.1883651593418,1066.8688801229391,469.17870952851746,1057.0845414970252,180.3193451617886,1265.9698405060062,317.5118108842754,779.3150600307013,270.0960695074764,1218.6514287619377,1.0,520.3062808092477,0
16,0.26531645569620255,170.55073824072437,734.9305773895605,114.63239276308698,1067.5577008886316,477.2689022424048,1055.3477734199673,179.87246386896308,1263.2458923367135,316.5512020979774,778.511249441975,271.262487974187,1217.3349930923366,1.0,486.0639997496281,0
17,0.28189873417721517,170.96032013982077,734.6731894106978,120.65871808095216,1067.7803208084147,484.85117800692666,1053.5526152991663,179.04759376124218,1261.2399864830766,315.1245038295322,777.514764136004,271.9546142202239,1215.9392888066823,1.0,467.915324436051,0
18,0.29848101265822785,171.37975496329915,734.4967293792164,127.82270340522308,1067.7851282094964,492.19651109455583,1051.330166714852,179.08708673886335,1260.2966104273505,313.42035763733503,776.467094369875,272.89223719638716,1215.039071069136,1.0,472.0462536867521,0
19,0.31506329113924053,171.6604656931892,734.3766525700566,135.61693223941302,1067.8470594153807,499.6970544083832,1048.631081347382,180.18122713114525,1259.781968703095,311.9221932258617,775.648833796536,274.611302623522,1214.8164956854384,1.0,493.21614336666,0
20,0.33164556962025316,171.7516418066037,734.0877129449367,143.58724456745057,1068.0071058289066,507.6553988344863,1045.753683813995,181.76829788687093,1258.761898762991,311.0081645172007,775.3131927987816,277.1633765629174,1215.054231267758,1.0,519.5549292071421,0
21,0.34822784810126584,171.71940426940145,733.3550600303627,151.36910349520045,1068.0263185610795,516.135394427274,1043.1428741687964,183.1981644304511,1256.8362680338025,310.70983282287995,775.5604512873998,280.1233782064826,1215.3840580483686,1.0,539.0511270593533,0
22,0.36481012658227846,171.66671634206637,732.0903880381009,158.82884905050872,1067.6150061058784,524.9592785150568,1041.0618519569648,184.11947771056177,1254.38993442819,310.77838781880524,776.3033269864734,282.83936422492604,1215.5784773412922,1.0,544.4012599609722,0
23,0.38139240506329114,171.6134961475073,730.5161228832487,166.1368446577045,1066.7076277897368,533.8141493509712,1039.409951041763,184.38362936290156,1252.167431730084,310.9187104178571,777.3090172610525,284.7687178899847,1215.6470550626677,1.0,534.5026182493633,0
24,0.3979746835443038,171.42903086196324,729.0539784992557,173.59921155260213,1065.4798876028317,542.3862080600479,1037.8825386050203,183.78830336992914,1250.6567679022899,310.9654721425104,778.30304695161,285.68261933323413,1215.7110244083508,1.0,512.8960793285112,0
25,0.41455696202531644,170.88615825251276,728.0524968717082,181.35305029747317,1064.0664072283148,550.479141687276,1036.3033513645837,182.0821969697658,1249.799227827376,310.9049764900931,779.1094161885443,285.63580050738614,1215.826335252625,1.0,484.83141438981926,0
26,0.4311392405063291,169.82657695739928,727.579154437857,189.18680448441066,1062.319209318513,558.0697283126292,1034.7563227908922,179.26547005778207,1249.165536772156,310.8039090353167,779.7385837758143,284.8270111122637,1215.9181677587994,1.0,454.8597160497793,0
27,0.44772151898734175,168.32013892835158,727.4449512790519,196.65485404317914,1059.9601913350327,565.2410377580081,1033.4018835623574,175.82586603260523,1248.3623597664396,310.7418342233529,780.3244872959978,283.5210590011194,1215.8538204469096,1.0,426.06116787556493,0
28,0.46430379746835443,166.67006237285273,727.4059203039003,203.41305772836958,1056.9795677594598,572.046169666808,1032.2396532818855,172.5936108293643,1247.320824460714,310.7813510249734,780.9469972297693,282.0384617201248,1215.5692093735208,1.0,400.71350527204385,0
29,0.4808860759493671,165.2379046033088,727.3377079142706,209.4769642116337,1053.7533891735268,578.465272532478,1031.102403654049,170.30784765640124,1246.2741173902027,310.9503367252944,781.5170855067009,280.7121493985852,1215.136285454974,1.0,381.20796689763876,0
30,0.49746835443037973,164.238597675144,727.2584122296929,215.14311857979715,1050.7051148679705,584.5151992762793,1029.8565055394697,169.27178797785888,1245.5057822108101,311.201557533847,781.8349996058968,279.7740388999667,1214.712628267476,1.0,370.02794874576955,0
31,0.5140506329113924,163.67898419350945,727.249573105994,220.6846255536522,1047.9617188010945,590.3717503872881,1028.552333977544,169.32709232021085,1245.1318128611763,311.35254059036953,781.7288723497987,279.2403004140036,1214.421461541236,1.0,368.6144411233652,0
32,0.5306329113924051,163.44731464643604,727.3804228258255,226.23109936484886,1045.4254175059673,596.332614558435,1027.369049689228,170.0455166536335,1245.1034016025744,311.07419521795873,781.1213076422924,278.8964752276372,1214.2797381481967,1.0,376.0927953568445,0
33,0.5472151898734178,163.42103220910704,727.6680312565667,231.99336013833832,1043.0579371543838,602.6262192196093,1026.4437745507144,170.9400940022854,1245.3589980510578,310.0208948871247,780.0128792845916,278.4286179518399,1214.239262102521,1.0,389.0952033416762,0
34,0.5637974683544303,163.5100889994982,728.0605266538194,238.44008658153078,1040.9225898222205,609.2613577339353,1025.7578873988132,171.66165781278605,1245.9048251954348,308.08906689396656,778.483907329605,277.64308900268134,1214.2812837504457,1.0,403.0261514369629,0
35,0.580379746835443,163.67668291335318,728.4692737186464,246.02846287617973,1038.984530590068,616.08016445066,1025.1547721249467,172.21958661911185,1246.7270222030313,305.6053740374548,776.7431458531529,276.6330001217501,1214.4436881636243,1.0,413.88913187546484,0
36,0.5969620253164557,163.97031791719127,728.8868788900861,254.78215257635094,1037.0617233921764,622.93495827794,1024.4500434126319,173.09814500222967,1247.6624993070063,303.2111820569513,775.1212227406935,275.7639268003153,1214.7171378139194,1.0,419.36814055141934,0
37,0.6135443037974684,164.51461826405563,729.5278112483186,264.33398214035475,1035.0623730055804,629.7753952479067,1023.5554074454592,175.0313880292365,1248.4024458556557,301.4703419883365,773.926982305044,275.4817471121942,1214.8755782862202,1.0,418.62718813175513,0
38,0.6301265822784811,165.38536665547278,730.823335355287,274.36043667907813,1033.1895520589815,636.5846402236905,1022.5527720935113,178.4396991137993,1248.6525063660315,300.5383273650361,773.2533839366661,276.0770535431843,1214.4276480731098,1.0,411.48926530918635,0
