frame,time,sh_x,sh_y,el_x,el_y,wr_x,wr_y,hip_x,hip_y,opp_sh_x,opp_sh_y,vis_sh,vis_el,vis_wr,vis_hip,wrist_forward_px,shoulder_elevation_px,mid_shoulder_x,trunk_x_displacement_px,shoulder_elevation_cm,trunk_x_displacement_cm,wrist_forward_cm,elbow_flexion_angle
0,0.0,177.80566056196452,749.0753350550914,64.80147642360699,1059.1488497768676,398.79364715372543,1109.4166516212713,100.71354728854463,1245.1877884798294,336.3798129558563,780.0479507446289,0.999944806098938,0.9597944021224976,0.76065993309021,0.999925971031189,-15.591617731777433,-6.806975831583486,257.0927367589104,5.207781191909987,-1.7368830618918552,1.3288290080740968,-3.9783917874609527,78.5351878555488
1,0.01658227848101266,176.62796011370395,747.3486428418466,64.32480776160232,1062.0736908873873,401.73618241660176,1107.1661549149069,107.51240885633693,1254.6736133052227,333.68602752685547,778.908519744873,0.9999463558197021,0.9615926742553711,0.7716048955917358,0.9999262094497681,-12.6490824689011,-5.08028361833874,255.1569938202797,3.272038253279277,-1.2962964442091394,0.8349005432947063,-3.2275679585594648,77.97414652946779
2,0.03316455696202532,175.48074201584717,745.6662723295879,63.870386866235776,1064.5974569057087,404.72736625192664,1105.040914095111,113.89845344948637,1262.9286877527993,333.44186067581177,778.472728729248,0.9999489188194275,0.9640550017356873,0.7869095802307129,0.9999260902404785,-9.657898633576224,-3.3979131060799546,254.46130134582947,2.576345778829051,-0.867019050126068,0.6573861073609536,-2.464330851932054,77.47908273614166
3,0.04974683544303798,174.39759493444615,744.0636117079143,63.54174801645197,1066.3992573989772,407.8315534799483,1103.105591933166,119.60919308236919,1269.0314514078432,333.15794348716736,778.5838508605957,0.9999507069587708,0.9664016962051392,0.8023838996887207,0.9999260902404785,-6.553711405554566,-1.7952524844064328,253.77776921080675,1.8928136438063348,-0.45808060864811984,0.48297453062650914,-1.672259548802774,77.10675321221652
4,0.06632911392405064,173.41386271743616,742.5612482371802,63.56412716952293,1067.301566340185,411.1367298985133,1101.3261485975727,124.63649504381374,1272.553769318293,329.8684501647949,778.2500839233398,0.9999520182609558,0.9685043096542358,0.8146186470985413,0.9999276399612427,-3.2485349869895686,-0.2928890136722657,251.64115644111553,-0.24379912588489105,-0.07473421082255109,-0.06220832609523184,-0.8289033977005766,76.90187686040942
5,0.08291139240506329,172.56095293736334,741.1646550492947,64.26609237353473,1067.3010702275676,414.75765986418276,1099.5723905173477,129.22168351743855,1273.6160132102693,328.0510711669922,777.5194931030273,0.9999518990516663,0.9701659083366394,0.826511561870575,0.9999259114265442,0.3723949786798926,1.1037041742132487,250.30601205217778,-1.5789435148226403,0.2816236068645453,-0.4028867318515908,0.09502112932465331,76.89169837185723
6,0.09949367088607595,171.85975720236723,739.870571627703,66.00167825515757,1066.5620708407923,418.8185493186604,1097.662245497402,133.75292509438069,1272.7948839418486,327.190500497818,776.8706703186035,0.999951958656311,0.9718085527420044,0.8378082513809204,0.9999251365661621,4.433284433157553,2.397787595804857,249.5251288500926,-2.359826716907804,0.6118248050542929,-0.6021386229372806,1.1312066960444809,77.08358310016995
7,0.11607594936708861,171.3162933734625,738.6778814920262,69.03401798796962,1065.3751045755778,423.41099532618307,1095.4305480305095,138.6101371185359,1270.9245175449719,326.8197441101074,776.8772506713867,0.9999526739120483,0.9733153581619263,0.8487808108329773,0.9999268054962158,9.025730440680206,3.5904777314816556,249.06801874178495,-2.816936825215464,0.9161542673583524,-0.7187758527707282,2.303025412677622,77.46349206830556
8,0.13265822784810127,170.92084965416956,737.5978338821623,73.42065586167887,1064.0904104142617,428.5418583425505,1092.7938395848319,144.02314410738308,1268.854718767884,327.08592653274536,779.4564056396484,0.999954104423523,0.9750415086746216,0.8605121970176697,0.999929666519165,14.15659345704762,4.670525341345638,249.00338809345746,-2.881567473542958,1.191741612755632,-0.7352671524516028,3.612227808353355,77.9938507555134
9,0.14924050632911393,170.6507847664272,736.6575400122717,78.94938574584329,1063.040499789471,434.09810680273665,1089.7857724761689,149.99487252532148,1267.2338596117713,326.98331594467163,782.3549652099609,0.9999558329582214,0.9765818119049072,0.8710386753082275,0.9999323487281799,19.71284191723379,5.610819211236162,248.8170503555494,-3.0679052114510057,1.431669083665085,-0.7828135032498607,5.029972498055754,78.61328247221128
10,0.16582278481012658,170.47674476205626,735.8932568696197,85.16524532103955,1062.4690393643261,439.85349086748533,1086.551725778433,156.30185261032338,1266.3730790217273,325.5363714694977,782.4859428405762,0.9999569058418274,0.9774662852287292,0.8806271553039551,0.9999304413795471,25.46822598198247,6.375102353888224,248.00655811577695,-3.8783974512234636,1.6266852667404752,-0.9896205021118057,6.498529070617999,79.24409183314081
11,0.18240506329113923,170.3711669564653,735.3356299850957,91.49857896924013,1062.4839545191041,445.52575089876586,1083.3074891155359,162.5507966163637,1266.22532257942,323.7911546230316,781.7225074768066,0.9999573230743408,0.9782140851020813,0.8891409039497375,0.9999280571937561,31.140486013263,6.9327292384122075,247.08116078974845,-4.803794777251966,1.768970580299452,-1.2257469378251844,7.94587553029912,79.81136805296589
12,0.1989873417721519,170.31631159580607,734.9941739793202,97.45470539823432,1063.0477741434468,450.8686229499322,1080.2784751569704,168.26822801021177,1266.4773254356328,321.37922644615173,781.2837982177734,0.9999577403068542,0.9791466593742371,0.896821141242981,0.9999239444732666,36.48335806442935,7.27418524418772,245.8477690209789,-6.03718654602153,1.8560972526259454,-1.5404619191701887,9.30917462186758,80.26896204184425
13,0.21556962025316456,170.30824300443467,734.8486104781538,102.78340075034268,1064.0066184459652,455.7629806055935,1077.6395823734142,173.0154813181425,1266.712909012005,318.7053322792053,780.9403038024902,0.9999581575393677,0.9800288677215576,0.9037421941757202,0.9999205470085144,41.377715720090634,7.419748745354127,244.50678764181998,-7.378167925180435,1.8932395586750612,-1.882629704307111,10.558029784760272,80.61875602764573
14,0.23215189873417721,170.35464228573167,734.8499961073405,107.54779999579311,1065.146084257543,460.27084594723505,1075.4710863154355,176.5150880264534,1266.5806638720471,318.2281029224396,779.7714042663574,0.9999591708183289,0.981048047542572,0.9105905294418335,0.9999193549156189,45.88558106173218,7.41836311616737,244.2913726040856,-7.593582962914809,1.8928859984562376,-1.937595483468779,11.708266710952673,80.91026230111063
15,0.24873417721518987,170.4673442412288,734.9288899555221,112.06582097048927,1066.2545975571036,464.63565178071167,1073.736636609496,178.7443280858656,1265.9028609722197,317.70153164863586,779.5864105224609,0.9999600052833557,0.9819151759147644,0.9164608120918274,0.9999185800552368,50.250386895208806,7.339469267985805,244.08443794493235,-7.800517622068071,1.8727552690421227,-1.990397390408715,12.822000255508057,81.21909392781205
16,0.26531645569620255,170.65296221402664,735.0052998011456,116.76451474659562,1067.1745963840178,469.2354761318738,1072.2831269176042,179.94327570764435,1264.6936435933362,317.3160982131958,778.6254501342773,0.9999604225158691,0.9825050234794617,0.9211118221282959,0.99991774559021,54.85021124637092,7.263059422362289,243.9845302136112,-7.90042535338921,1.8532583632341901,-2.015890068886958,13.99570164668115,81.61543869848695
17,0.28189873417721517,170.90551600864188,734.9968933491785,122.02092758335682,1067.8271585510827,474.50636673647006,1070.8628186940148,180.52342556445925,1263.0983091415806,314.9081289768219,777.535343170166,0.999961256980896,0.9831166863441467,0.9250279068946838,0.9999170899391174,60.12110185096719,7.271465874329351,242.9068224927319,-8.978133074268527,1.8554033721769942,-2.290880363017313,15.34063379257339,82.13782745529218
18,0.29848101265822785,171.20342697711988,734.8260248999953,128.0510435025101,1068.2050484027507,480.85017974579984,1069.1803762920822,180.9159826281756,1261.3003497024674,313.1803250312805,776.2735176086426,0.9999619722366333,0.9835241436958313,0.9282498359680176,0.9999173283576965,66.46491486029697,7.4423343235125685,242.1918760042002,-9.693079562800222,1.8990025449287242,-2.473307695920137,16.95933520070677,82.78307204545412
19,0.31506329113924053,171.51048703118383,734.4290585064874,134.87439103400254,1068.3412351120826,488.5383718299253,1066.9629376884063,181.4241493746157,1259.4488778481048,311.6881263256073,775.5817794799805,0.9999633431434631,0.9843465089797974,0.9316846132278442,0.9999193549156189,74.15310694442246,7.839300717020478,241.59930667839558,-10.28564888860484,2.0002933709993953,-2.624509000354223,18.92107135753726,83.51538815581877
20,0.33164556962025316,171.77845357801857,733.7703418693078,142.34910490962343,1068.2696658711343,497.6291033683433,1064.0390154899023,182.13436737752912,1257.6334386216142,310.96898317337036,775.4653930664062,0.9999651312828064,0.9852482080459595,0.9362194538116455,0.9999227523803711,83.24383848284043,8.498017354200101,241.37371837569447,-10.511237191305952,2.1683729702239307,-2.6820706123852953,21.24068259458953,84.28980479656653
21,0.34822784810126584,171.94954131132755,732.8580496774711,150.2487960876468,1067.9962017326316,507.9247678595052,1060.400430937016,182.91191831006967,1255.8975669348226,310.91169118881226,775.5560874938965,0.9999667406082153,0.9859217405319214,0.9396640062332153,0.9999260902404785,93.53950297400235,9.410309546036842,241.4306162500699,-10.454339316930515,2.4011554708088965,-2.6675524244696263,23.86774719832276,85.07859976524395
22,0.36481012658227846,171.9597398848325,731.7537799752083,158.341942758297,1067.4895564453277,518.9961312275985,1056.2207547813382,183.47275324262125,1254.263528694307,310.9886169433594,776.3285064697266,0.9999679327011108,0.9863864779472351,0.9425211548805237,0.9999285340309143,104.61086634209568,10.514579248299583,241.47417841409595,-10.410777152904473,2.6829233790657914,-2.6564370060065365,26.692740849228368,85.88764592864898
23,0.38139240506329114,171.7459213282771,730.5671687860607,166.4411752135564,1066.6909845178159,530.2792000266169,1051.8169979323545,183.499709458541,1252.7464550628704,310.81281423568726,777.0162963867188,0.9999697208404541,0.9871347546577454,0.9464608430862427,0.9999315142631531,115.89393514111401,11.701190437447167,241.27936778198216,-10.605587785018258,2.9857017238806787,-2.7061453192966938,29.57175372778835,86.75483294303547
24,0.3979746835443038,171.25881976424364,729.4327483975395,174.41146745768455,1065.5344681526074,541.2199803744801,1047.563307636409,182.7628266715756,1251.3543016427873,310.8340573310852,778.3732795715332,0.9999715089797974,0.9878656268119812,0.949917733669281,0.9999346733093262,126.83471548897722,12.835610825968388,241.04643854766442,-10.838517019335995,3.2751629481654914,-2.7655800597329327,32.3634275254111,87.73255427181246
25,0.41455696202531644,170.48013328317282,728.4756686128807,182.15009510886898,1063.9691041445383,551.4183720194408,1043.7866641767955,181.20669487338247,1250.083865159444,310.9209609031677,779.6164512634277,0.9999730587005615,0.9883488416671753,0.9527878761291504,0.9999364614486694,137.0331071339379,13.792690610627233,240.70054709317026,-11.18440847383016,3.519373550345101,-2.8538384909993613,34.965671773801645,88.86379914207423
26,0.4311392405063291,169.43740625627,727.7794813198846,189.56358956512997,1061.9791685279376,560.718280970774,1040.6844509036453,178.97869245597371,1248.9241189910997,310.87100744247437,779.7023391723633,0.999974250793457,0.9886793494224548,0.9551693201065063,0.9999387860298157,146.33301608527114,14.488877903623347,240.1542068493722,-11.730748717628217,3.6970142452773174,-2.99324388025898,37.33865718382176,90.16260414391401
27,0.44772151898734175,168.20831363963794,727.3682594978804,196.56327601339413,1059.5985607919872,569.209526459866,1038.2944257256318,176.39005762066253,1247.869274830337,310.68673968315125,779.6573066711426,0.9999750256538391,0.988787055015564,0.9562326073646545,0.9999414086341858,154.8242615743631,14.900099725627456,239.4475266613946,-12.437428905605827,3.801942518124305,-3.1735619655646143,39.50530222991392,91.60618876673247
28,0.46430379746835443,166.9090717538241,727.2078088143626,203.08613675788112,1056.9134619739016,577.1437331713644,1036.521735534002,173.82508584995784,1246.9340482994644,310.7620882987976,781.0605812072754,0.9999760389328003,0.9889417886734009,0.9575121402740479,0.9999445080757141,162.7584682858615,15.060550409145321,238.83558002631085,-13.049375540689567,3.842883470665681,-3.32970762724407,41.52981202511684,93.14136218521884
29,0.4808860759493671,165.669386875619,727.2225155033071,209.13114777354482,1054.0473294974076,584.8066733566241,1035.200762719806,171.63430728724975,1246.1600975578092,311.1509335041046,781.8780899047852,0.9999765753746033,0.9888828992843628,0.9582386016845703,0.9999467730522156,170.4214084711212,15.045843720200764,238.4101601898618,-13.474795377138605,3.839130879271748,-3.4382586969706166,43.48510485138383,94.70289672480226
30,0.49746835443037973,164.60398450313951,727.320689995886,214.79231424203633,1051.1315393726195,592.4098793422381,1034.1585488796359,170.05371427671685,1245.607306610374,311.16750955581665,781.9230079650879,0.9999771118164062,0.9889376163482666,0.9589307308197021,0.9999486207962036,178.02461445673526,14.947669227621873,237.88574702947807,-13.99920853752235,3.8140804578380583,-3.5720691229570734,45.42515576668373,96.23675293915667
31,0.5140506329113924,163.7926278330721,727.4221854642174,220.27188370721882,1048.2758845287324,600.0485408924917,1033.2548889224727,169.1784872696947,1245.3322901232139,311.0957658290863,781.5642929077148,0.9999775290489197,0.9888964891433716,0.9595602750778198,0.9999508857727051,185.66327600698884,14.846173759290537,237.44419683107918,-14.440758735921236,3.788182648860166,-3.684736051641556,47.374253602553914,97.71839647353508
32,0.5306329113924051,163.2751332034665,727.4840579596524,225.86537115395512,1045.5533261736844,607.7298474236196,1032.392053414925,168.9930276605318,1245.3628800821343,310.98697543144226,780.9620475769043,0.9999780654907227,0.9889894723892212,0.9605463743209839,0.9999532699584961,193.34458253811675,14.784301263855468,237.13105431745439,-14.753901249546033,3.7723951255932953,-3.7646381904664894,49.33423282639843,99.15856024720208
33,0.5472151898734178,163.05947290456848,727.5205238730506,231.91648016814366,1043.0026093588351,615.4355807139675,1031.502862920874,169.43385431854472,1245.6784767800916,309.9026119709015,779.8286819458008,0.9999785423278809,0.9889701008796692,0.9611647129058838,0.9999556541442871,201.05031582846465,14.747835350457308,236.48104243773497,-15.403913129265447,3.763090402191193,-3.9304966644564727,51.30044483634293,100.59478382436055
34,0.5637974683544303,163.13520612384198,727.6126669095408,238.74476683657088,1040.642470829006,623.1701978338236,1030.5337380440578,170.44969750093242,1246.2037947630415,308.93067598342896,779.0142059326172,0.9999791979789734,0.989082932472229,0.9624717235565186,0.9999582171440125,208.78493294832077,14.655692313967052,236.03294105363545,-15.852014513364963,3.739578980480448,-4.044835208225284,53.27402690833506,102.07290807496618
35,0.580379746835443,163.48342947679868,727.9027621251624,246.55842717180903,1038.489100863118,630.9639593496379,1029.4377802880697,172.0274388457639,1246.8201622683616,305.7218098640442,776.6319465637207,0.9999797344207764,0.9891912937164307,0.9634050130844116,0.9999603033065796,216.57869446413503,14.36559709834546,234.60261967042143,-17.282335896578985,3.6655576413695967,-4.4097991870952145,55.262700395676255,103.6259523240979
36,0.5969620253164557,164.07726732279005,728.5691599024791,255.37783737794828,1036.5694708515148,638.8336538889248,1028.1830243076065,174.17071660266103,1247.3939384582875,302.26539731025696,775.2493858337402,0.999980092048645,0.9891918301582336,0.9640446901321411,0.999962329864502,224.44838900342194,13.6991993210288,233.1713323165235,-18.713623250476928,3.4955181053787023,-4.775009645188915,57.270749121827016,105.25851102014855
