frame,time,sh_x,sh_y,el_x,el_y,wr_x,wr_y,hip_x,hip_y,opp_sh_x,opp_sh_y,hands_used,wrist_forward_px,wrist_forward_cm,shoulder_elevation_px,shoulder_elevation_cm,mid_shoulder_x,trunk_x_displacement_px,trunk_x_displacement_cm,elbow_flexion_angle,speed_px_s
0,0.0,695.2158454449343,668.9538046151954,739.042831572167,859.0512531279568,506.65470201019974,845.5116268347775,578.7900161382553,1080.3154535785272,435.31164980102164,709.805849582347,1.0,-2.8642427520144906,-0.39904337603739337,6.297292048739564,0.8773322991757914,565.2637476229779,-1.8119440193714809,-0.2524381909222692,73.68285054824798,83.3117329451934
1,0.033244444444444445,695.3937545556306,672.1213907551918,738.7812669374039,885.1448026627336,507.8950914580481,847.973957345103,573.4060910474818,1080.6670217632714,435.9632362592734,707.7025892146219,1.0,-1.6238533041661185,-0.22623358450612424,3.1297059087431762,0.4360274320152096,565.678495407452,-1.3971962348973648,-0.19465595301517188,69.34206450259454,53.2767247460546
2,0.06648888888888889,695.6431917380944,674.1374535480065,739.0297474567044,893.9940990802237,508.8837519253926,848.628564694117,569.1266013259108,1081.194035705401,437.2312023379266,706.054791196037,1.0,-0.6351928368216591,-0.0884944175425818,1.1136431159284257,0.15515162196651444,566.4371970380105,-0.6384946043389164,-0.08895441642223344,67.6856984211204,25.05960167755071
3,0.09973333333333333,696.1915689348251,675.1072934033359,739.7785535957278,892.2264549063672,509.23718544534273,848.1595249417901,567.0096239594034,1082.627543496115,438.2687504983714,705.4625092799345,1.0,-0.2817593168715007,-0.03925442037177738,0.14380326059904291,0.020034523454503916,567.2301597165982,0.15446807424882536,0.021520334404230755,67.827379349953,7.93515621313737
4,0.13297777777777778,696.7466374504587,675.6294955791712,741.2938516418056,891.3602599526348,509.2484122515458,848.1260137218619,566.2867756275072,1085.9562225510526,438.6005710069304,705.3991695753176,1.0,-0.2705325106684313,-0.03769031319327811,-0.3783989152362892,-0.05271815055430482,567.6736042286946,0.59791258634516,0.08330057110648666,67.77850469800228,0.8532132941104154
5,0.16622222222222222,696.8372891459919,676.0780325835393,741.5953603555226,891.5520278284473,509.184704762185,848.2252394517366,565.0105299401387,1089.7891679292552,438.72876772535176,705.1418918037498,1.0,-0.33424000002924004,-0.04656597557054118,-0.8269359196043524,-0.11520786808081197,567.7830284356719,0.7073367933224972,0.09854543990880466,67.70538761447725,13.267355708640993
6,0.19946666666666665,696.6696711117603,676.7483960737202,738.5665546742661,891.4581138514685,509.6336216673177,847.5125102751995,563.3808956658378,1091.345689640138,438.7672068406835,704.9697027080845,1.0,0.11467690510346529,0.015976669342646226,-1.497299409785228,-0.2086022251428468,567.7184389762219,0.6427473338725349,0.08954690235914486,68.09223988139621,40.62850453002267
7,0.2327111111111111,696.6386601217222,677.5335791709075,735.0195108906441,892.1684637675178,511.0197694753869,846.2983167709868,562.9745114777633,1090.7786227198126,438.64841715761156,705.0225672964013,1.0,1.5008247131726762,0.20909336681172036,-2.282482506972542,-0.31799313263096235,567.6435386396669,0.5678469973174742,0.07911186393782142,68.28866683767542,39.12086597598479
8,0.26595555555555556,696.7000522404,678.0098336096194,733.5349200916525,892.5486605497156,511.8108534212755,845.64394475637,563.433057780882,1090.2087989458964,438.6223060840978,704.9999055179271,1.0,2.291908659061278,0.31930637451658306,-2.7587369456844044,-0.38434441481286236,567.6611791622489,0.585487519899516,0.08156952353432416,68.31313019440007,13.677959836553875
9,0.29919999999999997,696.7193774088946,678.1916873006637,732.4283565417368,891.7541786342794,511.6213552054489,846.095560494008,563.6077175739943,1090.2321825676295,438.6156769830065,704.9649028074991,1.0,2.102410443234646,0.29290567655083355,-2.940590636728757,-0.40968008539042117,567.6675271959506,0.5918355536011859,0.08245392510878286,68.8245995748128,13.691390380249434
10,0.33244444444444443,696.7460934288614,678.3159765093138,731.2195776086288,891.4081370642165,512.3456127442112,846.5017550410279,563.6735358070836,1090.455930552825,438.34821472028875,705.0953043265947,1.0,2.826667981996934,0.39380849743952007,-3.0648798453788686,-0.4269959310497578,567.547154074575,0.47146243222562134,0.06568366473050986,69.21598212529956,25.18293475169936
11,0.36568888888888884,696.7822374454133,678.3646929830935,730.9245407084509,891.5506750261108,513.5263822636634,846.0247538475965,563.8886139317259,1090.789928413617,437.98500098051153,705.260860048056,1.0,4.007437501449203,0.5583121014140412,-3.113596319158546,-0.4337830604409405,567.3836192129625,0.3079275706130602,0.0429001547672614,69.07365132208218,19.03569904436019
12,0.3989333333333333,696.7398458189206,678.353962821984,730.9294930425685,890.7982929884138,513.3095243536201,845.897005838936,563.8707718182748,1091.1143462836624,437.7916201262373,705.4201485198043,1.0,3.7905795914058444,0.528099678782177,-3.102866158049096,-0.43228814534984755,567.2657329725789,0.1900413302295192,0.02647636410988143,69.19934137295957,18.19600401305706
13,0.43217777777777777,696.7434323979419,678.359700371072,731.2080667136555,890.7335742572737,512.2546645274367,846.201938431951,563.6522691267403,1091.5657210054824,437.7442061545143,705.7791404295931,1.0,2.735719765222484,0.38113768472969234,-3.1086037071370356,-0.43308749483117953,567.2438192762281,0.16812763387872565,0.023423370306500508,69.28599019041523,27.062062525072726
14,0.4654222222222222,696.8639559641949,678.3541073486867,732.0013119661744,891.4578176115301,511.42942107832994,846.0333591578199,563.6876914178339,1092.4798712938332,437.7743489440629,706.1688584286253,1.0,1.9104763161157052,0.2661656099107191,-3.10301068475178,-0.43230828066251475,567.3191524541289,0.24346081177952783,0.033918711742214676,69.0003211580599,25.208003446513157
15,0.49866666666666665,696.6425535584231,678.3585519582896,731.9178835792491,888.5438784858114,510.75434178691785,846.200690368538,563.9459297206059,1093.4306692006758,437.7528157175365,706.2258844828954,1.0,1.235397024703616,0.1721142522356247,-3.1074552943546223,-0.4329274991347755,567.1976846379798,0.12199299563042132,0.01699593960569164,69.63437004033737,20.0096546732404
16,0.5319111111111111,695.6907490587707,678.102104174737,730.9894753442638,883.373019690464,510.2429196191505,846.9145931903336,564.0819580789328,1093.7977165852096,437.674891199081,706.2851159321013,1.0,0.7239748569362519,0.10086343794527973,-2.851007510801992,-0.3971994557438393,566.6828201289259,-0.392871513423529,-0.0547344581583328,70.8644622764694,18.136487062859555
17,0.5651555555555555,693.86505800155,676.8581047654463,730.9816713234877,881.5546053981608,509.89592723946123,847.0867213444011,564.1573915408532,1093.593463172576,437.8085160395773,706.8039373966037,1.0,0.3769824772469974,0.05252081385971178,-1.6070081015113828,-0.22388672806993284,565.8367870205636,-1.238904621785764,-0.17260292708012065,70.86126490032747,16.157316663170512
18,0.5983999999999999,690.8675765108339,674.5408598042827,731.543526527108,880.1737268084921,509.2745577442175,846.8296903666768,564.015667407594,1092.9790321114424,437.6508522117266,707.582951425308,1.0,-0.24438701799675755,-0.034047749846813254,0.710236859652241,0.09894947418911816,564.2592143612803,-2.8164772810690692,-0.3923887393901779,70.27915077966995,32.00750178509106
19,0.6316444444444445,687.3599394070095,672.1986150669645,731.3579092996441,875.8244734273204,507.6532141638778,847.049504121933,563.1045309844525,1092.3236943650666,436.16802102015015,708.423967229636,1.0,-1.8657305983364267,-0.25993168219167306,3.0524815969704377,0.42526861973916064,561.7639802135798,-5.311711428769627,-0.7400222134041783,70.47772604337034,77.55822656873946
20,0.6648888888888889,684.6844265657091,670.8093284408665,731.2982125878588,873.2933752455973,504.2339623699892,847.6876285278885,562.1814267176906,1091.9134995766997,433.8675714184427,709.2495117462006,1.0,-5.284982392225061,-0.7362983513210958,4.441768223068493,0.6188226141315197,559.275998992076,-7.799692650273414,-1.0866452171451286,70.60183542305099,121.59736257040375
21,0.6981333333333333,682.6415729819253,670.2801084990956,732.1492041349953,874.217821149732,499.7011084648769,848.2191739525888,562.5649275284358,1091.1848091789404,432.307241000507,709.6975558401338,1.0,-9.817836297337351,-1.367810929683427,4.970988164839355,0.692552996125863,557.4744069912161,-9.601284651133255,-1.3376411754169772,69.9730696584508,122.36034156262616
22,0.7313777777777777,680.5746198391766,669.7093667985652,732.7471936661967,874.8836966633883,496.13869924364417,849.0256166401948,563.5812218488469,1089.7557453442093,431.84989515847406,709.7145983646618,1.0,-13.380245518570064,-1.8641221454376187,5.541729865369803,0.7720681471600448,556.2122574988254,-10.863434143524046,-1.5134825541385513,69.49607201154568,87.5085089416568
23,0.7646222222222222,678.9463580274169,668.5537906117165,733.0444413297216,874.6546358458941,494.1347393046508,850.0264144005159,564.1487920693951,1087.9669812452519,431.79188732702903,709.7052357580002,1.0,-15.38420545756344,-2.14331179824801,6.697306052218437,0.9330618417566974,555.369122677223,-11.706568965126394,-1.6309472367078812,69.40697986052182,57.96289448783069
